"Iteration"	"logProb"	"currentDecryptedText"	"correctText"
168	0.000851690484171738	"qkjk ni z izwxak tkht"	0
169	0.000851690484171738	"qkjk ny z yzwxak tkht"	0
170	0.000851690484171738	"qkjk ny z yzwxbk tkht"	0
171	0.000851690484171738	"qkjk ny z yzwxbk tkht"	0
172	0.000851690484171738	"qkjk iy z yzwxbk tkht"	0
173	0.000851690484171738	"qxjx iy z yzwkbx txht"	0
174	0.000851690484171738	"qxjx ky z yzwibx txht"	0
175	0.000851690484171738	"qxjx ky u yuwibx txht"	0
176	0.000851690484171738	"qxjx ky u yuwibx rxhr"	0
177	0.000851690484171738	"qxjx ky u yuwibx rxhr"	0
178	0.000851690484171738	"qxrx ky u yuwibx jxhj"	0
179	0.000851690484171738	"qxrx ky v yvwibx jxhj"	0
180	0.000851690484171738	"qxrx ky v yvwibx jxhj"	0
181	0.000851690484171738	"qyry kx v xvwiby jyhj"	0
182	0.000851690484171738	"oyry kx v xvwiby jyhj"	0
183	0.000851690484171738	"oyry kx v xvwiby jyej"	0
184	0.000851690484171738	"oyry kx v xvwiby jyej"	0
185	0.000851690484171738	"oywy kx v xvriby jyej"	0
186	0.000851690484171738	"oywy kx v xvriby jyej"	0
187	0.000851690484171738	"oywy kx v xvriby jyqj"	0
188	0.000851690484171738	"oywy hx v xvriby jyqj"	0
189	0.000851690484171738	"oywy hx v xvziby jyqj"	0
190	0.000851690484171738	"oywy hx v xvziby jyqj"	0
191	0.000851690484171738	"oywy hx i xizvby jyqj"	0
192	0.000851690484171738	"oywy hx i xizvmy jyqj"	0
193	0.000851690484171738	"oywy hx i xizlmy jyqj"	0
194	0.000851690484171738	"oywy hx i xizlmy jyqj"	0
195	0.000851690484171738	"oywy hx i xizlmy fyqf"	0
196	0.000851690484171738	"oywy hx i xizlmy fycf"	0
197	0.000851690484171738	"oywy nx i xizlmy fycf"	0
198	0.000851690484171738	"oyky nx i xizlmy fycf"	0
199	0.000851690484171738	"qyky nx i xizlmy fycf"	0
